[2019-11-24 08:44:44.1036][Info] Setup Success... 
[2019-11-24 08:44:44.2136][Info] Start Success... 
[2019-11-24 08:44:44.2136][Info] Server Listen at 11688 
[2019-11-24 16:48:54.9512][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21531 
[2019-11-24 16:48:59.0134][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21533 
[2019-11-24 16:49:02.6496][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21535 
[2019-11-24 16:49:06.4859][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21537 
[2019-11-24 16:49:11.0331][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21542 
[2019-11-24 16:49:14.3413][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21543 
[2019-11-24 16:49:15.5294][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21544 
[2019-11-24 16:49:18.2375][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21546 
[2019-11-24 16:49:20.0526][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21549 
[2019-11-24 16:49:23.3038][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21551 
[2019-11-24 16:49:27.4651][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21553 
[2019-11-24 16:49:29.3152][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21557 
[2019-11-24 16:49:30.4632][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21559 
[2019-11-24 16:49:32.7544][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21560 
[2019-11-24 16:49:34.3175][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21561 
[2019-11-24 16:49:38.5097][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21564 
[2019-11-24 16:49:42.6219][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21566 
[2019-11-24 16:49:44.5440][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21567 
[2019-11-24 16:49:45.7111][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21568 
[2019-11-24 16:49:47.3632][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21570 
[2019-11-24 16:49:50.2164][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21571 
[2019-11-24 16:49:53.6916][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21573 
[2019-11-24 16:49:56.9518][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21575 
[2019-11-24 16:50:01.2100][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21577 
[2019-11-24 16:50:05.0082][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21578 
[2019-11-24 16:50:07.0553][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21581 
[2019-11-24 16:50:10.8955][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21583 
[2019-11-24 16:50:12.9257][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21585 
[2019-11-24 16:50:17.8739][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21587 
[2019-11-24 16:50:19.7241][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21588 
[2019-11-24 16:50:23.8763][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21590 
[2019-11-24 16:50:26.2724][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21591 
[2019-11-24 16:50:28.4666][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21593 
[2019-11-24 16:50:31.7477][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21595 
[2019-11-24 16:50:36.3170][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21596 
[2019-11-24 16:50:40.5392][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21601 
[2019-11-24 16:50:42.5794][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21604 
[2019-11-24 16:50:45.9606][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21606 
[2019-11-24 16:50:48.8877][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21608 
[2019-11-24 16:50:50.8258][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21610 
[2019-11-24 16:50:55.7371][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21611 
[2019-11-24 16:50:57.6352][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21613 
[2019-11-24 16:51:02.1565][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21615 
[2019-11-24 16:51:06.8577][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21623 
[2019-11-24 16:51:07.9488][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21624 
[2019-11-24 16:51:09.4739][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21625 
[2019-11-24 16:51:10.9040][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21627 
[2019-11-24 16:51:15.1732][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21628 
[2019-11-24 16:51:17.8554][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21630 
[2019-11-24 16:51:19.1174][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21631 
[2019-11-24 16:51:23.8847][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21635 
[2019-11-24 16:51:25.1858][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21636 
[2019-11-24 16:51:29.9851][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21639 
[2019-11-24 16:51:33.3343][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21641 
[2019-11-24 16:51:35.9964][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21642 
[2019-11-24 16:51:37.3925][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21644 
[2019-11-24 16:51:42.2508][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21646 
[2019-11-24 16:51:45.7860][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21647 
[2019-11-24 16:51:47.9471][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21649 
[2019-11-24 16:51:50.7263][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21651 
[2019-11-24 16:51:52.1653][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21652 
[2019-11-24 16:51:54.8715][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21653 
[2019-11-24 16:51:58.8737][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21655 
[2019-11-24 16:52:01.7979][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21657 
[2019-11-24 16:52:05.6591][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21658 
[2019-11-24 16:52:09.4533][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21660 
[2019-11-24 16:52:10.8904][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21662 
[2019-11-24 16:52:13.9316][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21663 
[2019-11-24 16:52:14.9446][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21664 
[2019-11-24 16:52:15.9997][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21665 
[2019-11-24 16:52:18.8329][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21667 
[2019-11-24 16:52:22.7081][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21669 
[2019-11-24 16:52:23.9082][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21670 
[2019-11-24 16:52:28.8344][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21673 
[2019-11-24 16:54:23.7090][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21800 
[2019-11-24 16:54:26.2792][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21805 
[2019-11-24 16:54:26.2792][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21804 
[2019-11-24 16:54:28.2043][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21807 
[2019-11-24 16:54:29.5773][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21809 
[2019-11-24 16:54:54.2568][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21835 
[2019-11-24 16:54:54.2568][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21836 
[2019-11-24 16:55:13.0238][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21842 
[2019-11-24 16:57:24.3983][Info] Session Close:TimeOut, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.6.73:21810 
[2019-11-24 16:57:24.3983][Info] Session Close:TimeOut, Path:/favicon.ico, IP:10.104.6.73:21843 
[2019-11-24 16:57:24.3983][Info] Session Close:TimeOut, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.6.73:21841 
[2019-11-24 16:57:24.9994][Info] Session Close:SocketError, Path:/favicon.ico, IP:10.104.6.73:21902 
[2019-11-24 16:58:07.6398][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21960 
[2019-11-24 16:58:07.6398][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21961 
[2019-11-24 16:59:04.3381][Info] Session Close:ClientClosing, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.6.73:21962 
[2019-11-24 16:59:04.3381][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21994 
[2019-11-24 17:01:24.4411][Info] Session Close:TimeOut, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.6.73:21995 
[2019-11-24 17:03:01.6586][Info] Session Close:SocketError, Path:, IP:10.104.16.249:13367 
[2019-11-24 17:06:22.5231][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:22186 
[2019-11-24 17:06:24.5092][Info] Session Close:TimeOut, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.16.249:13426 
[2019-11-24 17:08:20.4769][Info] Session Close:ClientClosing, Path:/favicon.ico, IP:10.104.16.249:13557 
[2019-11-24 17:12:55.8776][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:22571 
[2019-11-24 17:12:55.8986][Info] New Session Connected:68b2ef2c-8ca2-4ab2-afa1-4666feb1cf7e, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, Host:10.104.6.73:11688, IP:10.104.6.73:22572 
[2019-11-24 17:13:46.1215][Info] Receive:你好啊， 现在可以了 ClientIP:10.104.6.73:22572 
[2019-11-24 17:14:12.9520][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:22602 
[2019-11-24 17:14:12.9520][Info] New Session Connected:2cc8757d-cd50-4738-896b-66de0b45cd0a, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, Host:10.104.6.73:11688, IP:10.104.6.73:22603 
[2019-11-24 17:14:18.0403][Info] Receive:你好啊， 现在可以了 ClientIP:10.104.6.73:22572 
